angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.05,"[503, 290, 246, 323]",0.0,0.02,0.0,0.88,0.05,0.0
0.04,"[499, 289, 242, 323]",0.01,0.05,0.01,0.8,0.04,0.05
0.05,"[492, 292, 245, 323]",0.01,0.0,0.0,0.88,0.05,0.0
0.04,"[496, 288, 244, 323]",0.01,0.01,0.0,0.91,0.03,0.0
0.02,"[494, 291, 251, 321]",0.0,0.0,0.0,0.95,0.03,0.0
0.03,"[502, 296, 239, 305]",0.0,0.0,0.0,0.91,0.05,0.0
0.05,"[510, 298, 241, 310]",0.0,0.01,0.01,0.89,0.04,0.0
0.01,"[508, 302, 244, 312]",0.0,0.0,0.01,0.96,0.02,0.0
0.05,"[500, 303, 249, 321]",0.0,0.0,0.0,0.88,0.06,0.0
0.01,"[501, 296, 251, 325]",0.0,0.0,0.0,0.97,0.01,0.0
0.02,"[502, 297, 249, 328]",0.0,0.0,0.0,0.94,0.03,0.0
0.05,"[500, 298, 249, 330]",0.01,0.01,0.0,0.83,0.09,0.0
0.08,"[496, 300, 251, 333]",0.05,0.01,0.0,0.8,0.06,0.0
0.04,"[497, 299, 249, 335]",0.01,0.01,0.0,0.9,0.03,0.0
0.14,"[493, 291, 258, 346]",0.01,0.02,0.0,0.72,0.1,0.01
0.19,"[489, 291, 263, 348]",0.0,0.05,0.0,0.67,0.07,0.02
0.04,"[491, 305, 249, 328]",0.0,0.01,0.0,0.9,0.06,0.0
0.03,"[491, 304, 252, 328]",0.01,0.01,0.0,0.89,0.06,0.0
0.03,"[490, 305, 254, 331]",0.01,0.0,0.0,0.89,0.07,0.0
0.01,"[489, 306, 253, 329]",0.0,0.0,0.0,0.96,0.03,0.0
0.02,"[490, 311, 248, 321]",0.0,0.0,0.0,0.92,0.06,0.0
0.01,"[492, 296, 251, 332]",0.0,0.0,0.0,0.98,0.01,0.0
0.02,"[497, 296, 252, 337]",0.0,0.01,0.0,0.94,0.03,0.0
0.05,"[501, 296, 252, 337]",0.0,0.05,0.0,0.83,0.06,0.02
0.15,"[500, 296, 256, 339]",0.01,0.14,0.02,0.53,0.06,0.1
0.04,"[506, 297, 251, 331]",0.0,0.01,0.0,0.9,0.04,0.0
0.03,"[505, 299, 249, 328]",0.01,0.0,0.0,0.93,0.03,0.0
0.03,"[502, 300, 251, 330]",0.0,0.0,0.0,0.94,0.03,0.0
0.03,"[500, 304, 249, 324]",0.0,0.01,0.0,0.91,0.05,0.0
0.03,"[509, 293, 252, 331]",0.0,0.01,0.0,0.91,0.04,0.0
0.04,"[513, 302, 258, 334]",0.0,0.0,0.0,0.87,0.08,0.0
0.04,"[502, 293, 249, 327]",0.02,0.01,0.0,0.83,0.1,0.0
0.02,"[500, 300, 250, 322]",0.0,0.01,0.0,0.87,0.09,0.0
0.04,"[485, 298, 254, 334]",0.0,0.0,0.0,0.88,0.08,0.0
0.05,"[479, 287, 262, 350]",0.0,0.0,0.0,0.9,0.04,0.0
0.03,"[478, 296, 257, 337]",0.0,0.0,0.0,0.85,0.11,0.0
0.06,"[485, 294, 253, 337]",0.0,0.0,0.0,0.87,0.06,0.0
0.02,"[492, 296, 254, 332]",0.0,0.0,0.0,0.92,0.05,0.0
0.03,"[494, 286, 261, 344]",0.0,0.0,0.0,0.93,0.03,0.0
0.01,"[502, 301, 253, 330]",0.0,0.0,0.0,0.98,0.02,0.0
0.06,"[490, 290, 262, 349]",0.0,0.01,0.0,0.86,0.07,0.0
0.02,"[465, 304, 266, 341]",0.0,0.0,0.0,0.92,0.05,0.0
0.06,"[452, 316, 255, 315]",0.0,0.01,0.0,0.82,0.1,0.0
0.2,"[447, 315, 263, 331]",0.0,0.01,0.01,0.67,0.09,0.0
0.08,"[463, 324, 248, 302]",0.0,0.02,0.0,0.78,0.12,0.0
0.09,"[480, 309, 259, 328]",0.0,0.0,0.01,0.88,0.01,0.0
0.07,"[476, 313, 258, 319]",0.0,0.06,0.0,0.82,0.03,0.03
0.01,"[486, 322, 249, 305]",0.0,0.0,0.0,0.94,0.04,0.0
0.08,"[484, 316, 256, 328]",0.0,0.0,0.0,0.85,0.05,0.0
0.04,"[477, 311, 254, 328]",0.0,0.01,0.0,0.83,0.1,0.01
0.13,"[472, 311, 251, 326]",0.0,0.01,0.01,0.65,0.08,0.11
0.07,"[475, 315, 247, 316]",0.0,0.02,0.0,0.68,0.1,0.12
0.03,"[476, 321, 244, 310]",0.01,0.01,0.01,0.68,0.25,0.0
0.12,"[473, 305, 247, 319]",0.0,0.01,0.01,0.78,0.05,0.02
0.2,"[475, 314, 249, 320]",0.01,0.02,0.0,0.63,0.13,0.01
0.04,"[474, 323, 247, 313]",0.0,0.0,0.0,0.91,0.04,0.0
0.02,"[476, 317, 248, 315]",0.0,0.0,0.0,0.92,0.05,0.0
0.04,"[468, 313, 251, 329]",0.0,0.01,0.0,0.88,0.06,0.0
0.08,"[466, 313, 252, 332]",0.01,0.01,0.0,0.79,0.09,0.01
0.07,"[465, 314, 252, 336]",0.0,0.01,0.0,0.85,0.06,0.0
0.07,"[470, 310, 253, 333]",0.0,0.01,0.01,0.85,0.05,0.01
0.04,"[477, 317, 250, 331]",0.0,0.0,0.0,0.9,0.05,0.0
0.02,"[476, 318, 248, 323]",0.0,0.0,0.0,0.95,0.03,0.0
0.06,"[481, 314, 255, 338]",0.0,0.01,0.0,0.84,0.08,0.0
0.08,"[489, 317, 252, 333]",0.01,0.0,0.0,0.84,0.05,0.0
0.04,"[500, 311, 260, 341]",0.0,0.0,0.02,0.84,0.09,0.0
0.03,"[505, 320, 255, 329]",0.01,0.02,0.0,0.68,0.26,0.0
0.07,"[504, 314, 265, 344]",0.01,0.0,0.01,0.78,0.13,0.0
0.07,"[514, 318, 255, 330]",0.02,0.01,0.0,0.62,0.28,0.0
0.06,"[513, 312, 253, 326]",0.01,0.0,0.02,0.85,0.07,0.0
0.03,"[516, 317, 248, 318]",0.03,0.01,0.02,0.73,0.18,0.0
0.04,"[516, 322, 249, 314]",0.0,0.02,0.01,0.66,0.27,0.0
0.08,"[504, 319, 258, 333]",0.0,0.02,0.03,0.79,0.07,0.01
0.05,"[503, 320, 256, 333]",0.0,0.02,0.0,0.81,0.1,0.0
0.03,"[502, 320, 258, 335]",0.0,0.01,0.0,0.91,0.05,0.0
0.03,"[501, 316, 262, 341]",0.0,0.0,0.0,0.9,0.06,0.0
0.07,"[500, 313, 255, 331]",0.01,0.01,0.0,0.81,0.1,0.0
0.04,"[494, 308, 258, 339]",0.01,0.0,0.01,0.91,0.03,0.0
0.02,"[486, 305, 254, 340]",0.0,0.0,0.0,0.95,0.02,0.0
0.02,"[480, 311, 253, 329]",0.0,0.0,0.0,0.94,0.03,0.0
0.04,"[478, 313, 251, 333]",0.0,0.0,0.0,0.87,0.08,0.0
0.03,"[478, 312, 250, 331]",0.0,0.01,0.0,0.8,0.16,0.0
0.03,"[478, 314, 248, 322]",0.0,0.0,0.0,0.89,0.08,0.0
0.03,"[481, 312, 251, 331]",0.0,0.0,0.0,0.92,0.05,0.0
0.02,"[484, 308, 270, 352]",0.0,0.0,0.0,0.95,0.03,0.0
0.02,"[484, 316, 256, 340]",0.0,0.0,0.0,0.94,0.03,0.0
0.01,"[492, 305, 268, 352]",0.0,0.0,0.0,0.97,0.01,0.0
